"Grad_Rate","Accept","Top10perc","Top25perc","F_Undergrad","P_Undergrad","PhD","Expend","Private"
98,1092,41,80,1757,81,60,8294,"Yes"
36,182,7,29,402,237,59,6286,"Yes"
69,10519,49,85,31643,2798,89,8471,"No"
43,481,22,47,1206,134,103,6415,"No"
64,3079,33,64,5064,660,81,9158,"Yes"
50,423,27,57,895,429,54,7002,"Yes"
10,3245,15,85,5584,3101,65,3605,"No"
43,501,19,44,1204,392,80,7936,"Yes"
84,1242,12,36,2024,292,95,7744,"No"
60,951,15,31,791,140,68,9186,"Yes"
39,734,5,21,662,351,59,5096,"Yes"
70,729,57,81,867,51,81,10219,"Yes"
81,2312,55,94,5167,902,81,8504,"No"
65,1102,14,40,978,98,53,7603,"Yes"
91,1798,46,84,1737,244,91,18034,"Yes"
96,189,19,49,309,639,89,11806,"Yes"
78,185,16,41,484,541,58,9586,"Yes"
93,1818,62,93,2110,95,94,14703,"Yes"
74,5125,47,75,4941,1534,98,16920,"Yes"
52,372,12,34,983,40,70,4933,"Yes"
65,1827,20,59,2825,144,70,10872,"Yes"
64,384,9,45,634,78,60,6864,"Yes"
88,1712,49,84,1915,123,94,15411,"Yes"
56,2900,14,48,7764,1472,73,5901,"No"
33,1260,24,35,6960,4698,96,16352,"No"
39,3108,25,65,9978,1530,73,6820,"No"
78,8252,95,100,19532,2061,93,13919,"No"
66,10775,85,100,12677,864,96,15934,"No"
46,2959,25,60,12330,7152,80,6742,"No"
57,535,22,43,771,611,26,7683,"Yes"
90,2999,68,94,3340,39,99,36854,"Yes"
54,5553,26,57,11036,2011,89,13889,"No"
71,7187,23,63,12478,1660,89,10178,"No"
63,588,44,74,1058,73,85,8731,"Yes"
93,5293,26,51,5889,665,81,8894,"Yes"
75,10516,22,57,14130,4522,82,10650,"Yes"
67,2001,29,60,2666,554,84,11762,"Yes"
51,731,24,50,2149,2217,72,10891,"Yes"
45,558,11,39,662,131,85,8767,"Yes"
77,1626,35,67,2551,407,60,7780,"Yes"
66,8836,54,85,24470,3286,88,14737,"No"
63,7871,43,79,19553,2748,88,7881,"No"
66,4040,11,26,3768,1415,61,10625,"Yes"
54,2603,36,69,11028,2411,85,12833,"No"
81,11652,52,88,25422,911,87,8559,"No"
34,5727,22,50,13518,2916,82,13883,"No"
69,1276,26,51,1417,1646,55,6735,"Yes"
57,5561,25,50,17880,1673,88,9657,"No"
47,969,16,38,1431,1522,66,10139,"Yes"
31,3057,16,33,9844,6198,84,10207,"No"
59,803,20,48,1906,344,67,5712,"No"
64,369,17,45,633,317,46,5935,"No"
35,381,10,40,974,503,67,6408,"No"
55,2594,27,57,6476,2592,82,7618,"No"
63,10315,22,53,19340,3991,89,9021,"No"
68,12414,12,39,16282,1940,88,10276,"No"
56,2597,10,37,4664,1630,74,7462,"No"
59,5386,42,69,7760,876,82,17500,"Yes"
87,12940,66,92,22045,1339,90,14847,"No"
53,3126,15,45,5887,1254,79,6393,"No"
51,874,56,86,1846,154,74,6716,"No"
45,6397,26,55,16502,21836,88,16122,"No"
53,3383,26,47,7524,804,81,6971,"No"
58,4637,32,62,14782,1583,87,10145,"No"
49,1826,49,77,3926,561,88,9699,"No"
48,1141,18,54,4793,4552,71,6433,"No"
52,331,17,54,1417,301,59,5412,"Yes"
51,892,18,78,2385,331,72,5883,"No"
53,6003,33,63,16454,3171,86,6813,"No"
64,750,19,54,820,159,72,9718,"Yes"
75,7640,24,62,10358,1338,89,7855,"No"
37,979,32,74,2033,1078,77,7011,"No"
83,5985,75,92,14609,1100,88,15893,"No"
62,4441,19,62,10099,3255,79,6227,"No"
53,4134,15,44,7532,1847,75,7392,"No"
55,3856,15,67,6635,1145,82,6005,"No"
49,2249,20,54,8334,1435,97,9424,"No"
47,1253,44,85,3876,3588,82,6104,"No"
35,2737,23,51,14047,5134,86,5657,"No"
40,4007,12,37,8463,1498,75,6309,"No"
77,3379,18,52,10135,1448,78,6333,"No"
97,3700,79,96,7671,30,96,13936,"Yes"
44,3970,32,63,13436,2582,86,10244,"No"
54,6732,25,61,11669,1605,79,8020,"No"
93,5232,85,100,9205,531,95,25765,"Yes"
66,6383,25,59,13138,4289,93,13789,"No"
72,1485,27,58,2041,174,92,9060,"Yes"
63,2826,51,83,2738,138,79,11217,"Yes"
63,7751,12,40,8894,2456,84,9158,"No"
100,2718,46,72,2854,594,75,11984,"Yes"
80,5498,56,75,5071,438,93,26037,"Yes"
66,2735,40,70,3698,217,93,10813,"Yes"
62,1721,23,48,4309,549,86,10074,"Yes"
43,280,21,43,1140,473,67,3864,"No"
92,2942,29,60,3674,493,83,9131,"Yes"
48,560,14,24,1855,1412,62,5035,"No"
63,5815,30,66,12594,3661,84,8246,"No"
47,4676,29,63,14770,10962,84,11020,"No"
68,8498,45,71,13259,1429,90,17007,"Yes"
36,1239,10,34,3716,675,63,5389,"No"
38,2133,8,25,4283,2973,56,4078,"No"
45,2044,20,50,9260,1387,78,5917,"No"
89,1807,26,53,4106,982,80,8546,"Yes"
62,280,45,77,995,408,75,7237,"Yes"
53,5372,27,53,15749,3237,86,8612,"No"
29,2559,19,43,10975,8431,73,4696,"No"
65,9572,48,85,30017,5189,91,7837,"No"
50,3100,17,46,9375,5457,94,4329,"No"
57,704,5,22,1145,39,16,11641,"Yes"
65,1997,36,66,2664,299,87,13706,"Yes"
82,966,46,83,1129,24,89,18784,"Yes"
47,1557,41,68,2936,433,94,11743,"Yes"
37,4491,27,53,13894,8374,89,9275,"No"
79,6008,18,51,7353,1674,87,12646,"No"
95,5384,74,95,11278,114,90,13597,"No"
65,7025,40,81,20356,4582,96,16527,"No"
53,1254,20,57,3754,2477,83,8488,"No"
65,1966,9,32,6038,579,78,6254,"No"
36,910,14,53,1434,417,75,6490,"No"
67,3719,12,38,7804,1552,90,5559,"No"
46,1939,17,50,3819,1347,81,5968,"No"
72,10932,36,80,23945,2200,93,11006,"No"
38,3782,12,37,11561,7443,79,8094,"No"
45,1516,23,46,7535,1488,91,8745,"No"
78,452,10,35,1481,1160,69,3733,"Yes"
79,1026,44,77,1131,17,82,12082,"Yes"
68,260,21,47,699,717,39,7164,"Yes"
40,344,5,27,863,189,39,4958,"No"
95,1727,49,81,2501,198,87,9681,"Yes"
83,4690,71,92,5500,90,93,23850,"Yes"
90,1877,53,87,2164,77,90,17089,"Yes"
96,5588,30,68,6362,1292,89,10458,"Yes"
45,3497,18,45,10262,5065,81,11183,"No"
31,2440,2,30,3006,338,61,5733,"No"
73,11719,29,53,18511,604,85,8944,"No"
30,1610,19,59,1298,67,51,6757,"Yes"
68,900,20,49,1130,417,70,7804,"Yes"
73,518,17,43,1014,387,51,8050,"Yes"
58,1006,10,30,703,20,43,5861,"Yes"
72,623,41,76,801,5,78,14904,"Yes"
75,1015,10,44,1324,117,67,9006,"Yes"
89,2392,75,88,3499,172,95,41766,"Yes"
68,890,27,92,847,497,42,5738,"Yes"
63,311,25,49,466,7,65,9430,"Yes"
67,1074,34,66,1295,105,66,7735,"Yes"
86,1100,42,64,1098,151,91,10162,"Yes"
90,1096,68,93,1584,3,81,15736,"Yes"
65,942,31,60,822,46,79,10830,"Yes"
56,5839,31,70,14445,1344,84,10912,"No"
90,5259,62,93,4879,1274,91,45702,"Yes"
52,1373,6,21,2754,474,60,4550,"No"
63,978,12,30,1280,61,57,6563,"Yes"
90,143,5,27,327,110,53,4839,"Yes"
48,462,17,44,1739,1550,68,6951,"Yes"
91,1249,80,96,2195,156,94,21409,"Yes"
69,240,40,85,416,19,93,13935,"Yes"
64,1257,6,25,2961,572,10,17858,"Yes"
84,807,10,25,872,448,52,6243,"Yes"
92,1973,60,86,2714,27,90,16262,"Yes"
52,3539,11,51,7484,1904,76,6773,"No"
60,1062,12,25,2138,227,33,4249,"No"
67,1400,28,55,1509,170,58,8080,"Yes"
55,2519,11,31,5000,706,67,6554,"No"
60,984,31,50,1071,98,84,10026,"Yes"
55,7191,24,53,15739,4278,80,5983,"No"
59,1471,7,21,1803,1116,74,8409,"Yes"
52,1623,7,24,2315,146,76,4599,"No"
61,3563,30,71,8909,506,83,7203,"No"
65,2150,3,20,3234,941,75,4222,"No"
62,553,20,43,665,37,66,7925,"Yes"
80,866,29,58,1411,72,62,8596,"Yes"
50,720,21,60,979,743,68,7170,"Yes"
87,713,42,72,1276,9,77,8837,"No"
85,920,56,84,2200,56,81,11916,"Yes"
71,1373,21,55,1335,30,92,22704,"Yes"
72,755,15,49,971,305,66,7494,"Yes"
72,998,45,77,1220,46,80,13198,"Yes"
52,1069,35,63,1235,30,84,11778,"Yes"
80,926,43,70,1270,160,80,8328,"Yes"
63,1492,24,64,2186,2171,88,9603,"Yes"
67,1431,15,36,1803,603,78,8543,"Yes"
68,1327,49,80,1595,159,91,10779,"Yes"
59,547,32,67,1279,75,74,7885,"Yes"
52,435,17,39,851,120,39,7438,"Yes"
99,1245,81,96,1988,29,94,22014,"Yes"
67,130,16,50,199,676,67,10291,"Yes"
91,1017,10,34,1207,157,69,7264,"Yes"
58,2047,20,45,5800,872,53,5318,"No"
59,1805,24,61,3395,670,71,6729,"No"
50,128,17,41,282,22,48,8960,"Yes"
78,1739,42,68,1980,144,82,10414,"Yes"
75,935,51,83,1059,34,91,7875,"Yes"
82,2314,49,86,2802,86,92,10774,"Yes"
40,1515,4,26,3089,2029,60,4469,"No"
83,1805,24,47,2849,1107,73,9189,"Yes"
49,1915,34,61,2793,166,67,8323,"Yes"
99,2453,95,99,5217,83,96,40386,"Yes"
99,1855,28,63,2988,1726,75,4509,"Yes"
